slug,name,city,searchUrl
elkano-restaurant,Elkano,Getaria,https://www.tripadvisor.es/Search?q=Elkano%20Getaria
emerils-restaurant,Emeril's,New Orleans,https://www.tripadvisor.es/Search?q=Emeril's%20New%20Orleans
enigma-restaurant,Enigma,Barcelona,https://www.tripadvisor.es/Search?q=Enigma%20Barcelona
estro-restaurant,Estro,Hong Kong,https://www.tripadvisor.es/Search?q=Estro%20Hong%20Kong
fauna-restaurant,Fauna,Valle de Guadalupe,https://www.tripadvisor.es/Search?q=Fauna%20Valle%20de%20Guadalupe
frantzen-restaurant,Frantzén,Stockholm,https://www.tripadvisor.es/Search?q=Frantz%C3%A9n%20Stockholm
friday-saturday-sunday-restaurant,Friday Saturday Sunday,Philadelphia,https://www.tripadvisor.es/Search?q=Friday%20Saturday%20Sunday%20Philadelphia
friday-saturday-sunday-restaurant-restaurant,Friday Saturday Sunday,Philadelphia,https://www.tripadvisor.es/Search?q=Friday%20Saturday%20Sunday%20Philadelphia
fu-he-hui-restaurant-restaurant,Fu He Hui,Shanghai,https://www.tripadvisor.es/Search?q=Fu%20He%20Hui%20Shanghai
fu-he-hui-restaurant,Fu He Hui,Shanghai,https://www.tripadvisor.es/Search?q=Fu%20He%20Hui%20Shanghai
god-bangkok-bar,G.O.D,Bangkok,https://www.tripadvisor.es/Search?q=G.O.D%20Bangkok
god-bangkok,G.O.D,Bangkok,https://www.tripadvisor.es/Search?q=G.O.D%20Bangkok
gaggan-restaurant-restaurant-restaurant,Gaggan,Bangkok,https://www.tripadvisor.es/Search?q=Gaggan%20Bangkok
gaggan-restaurant-restaurant,Gaggan,Bangkok,https://www.tripadvisor.es/Search?q=Gaggan%20Bangkok
gaggan-restaurant,Gaggan,Bangkok,https://www.tripadvisor.es/Search?q=Gaggan%20Bangkok
gaggan-at-louis-vuitton-restaurant-restaurant,Gaggan at Louis Vuitton,Bangkok,https://www.tripadvisor.es/Search?q=Gaggan%20at%20Louis%20Vuitton%20Bangkok
gaggan-at-louis-vuitton-restaurant,Gaggan at Louis Vuitton,Bangkok,https://www.tripadvisor.es/Search?q=Gaggan%20at%20Louis%20Vuitton%20Bangkok
gokan,Gokan,Hong Kong,https://www.tripadvisor.es/Search?q=Gokan%20Hong%20Kong
gramercy-tavern-restaurant-restaurant,Gramercy Tavern,New York,https://www.tripadvisor.es/Search?q=Gramercy%20Tavern%20New%20York
gramercy-tavern-restaurant,Gramercy Tavern,New York,https://www.tripadvisor.es/Search?q=Gramercy%20Tavern%20New%20York
gus-sip-dip,Gus' Sip & Dip,Chicago,https://www.tripadvisor.es/Search?q=Gus'%20Sip%20%26%20Dip%20Chicago
handshake-speakeasy-bar-bar,Handshake Speakeasy,Mexico City,https://www.tripadvisor.es/Search?q=Handshake%20Speakeasy%20Mexico%20City
handshake-speakeasy,Handshake Speakeasy,Mexico City,https://www.tripadvisor.es/Search?q=Handshake%20Speakeasy%20Mexico%20City
handshake-speakeasy-bar,Handshake Speakeasy,Mexico City,https://www.tripadvisor.es/Search?q=Handshake%20Speakeasy%20Mexico%20City
himkok,Himkok,Oslo,https://www.tripadvisor.es/Search?q=Himkok%20Oslo
himkok-bar,Himkok,Oslo,https://www.tripadvisor.es/Search?q=Himkok%20Oslo
holbox-restaurant-restaurant,Holbox,Los Angeles,https://www.tripadvisor.es/Search?q=Holbox%20Los%20Angeles
holbox-restaurant,Holbox,Los Angeles,https://www.tripadvisor.es/Search?q=Holbox%20Los%20Angeles
hope-and-sesame-bar,Hope & Sesame,Guangzhou,https://www.tripadvisor.es/Search?q=Hope%20%26%20Sesame%20Guangzhou
hope-and-sesame,Hope & Sesame,Guangzhou,https://www.tripadvisor.es/Search?q=Hope%20%26%20Sesame%20Guangzhou
hope-sesame,Hope & Sesame,Guangzhou,https://www.tripadvisor.es/Search?q=Hope%20%26%20Sesame%20Guangzhou
humo-negro-restaurant,Humo Negro,Bogotá,https://www.tripadvisor.es/Search?q=Humo%20Negro%20Bogot%C3%A1
huniik-restaurant,Huniik,Mérida,https://www.tripadvisor.es/Search?q=Huniik%20M%C3%A9rida
ikoyi-restaurant,Ikoyi,London,https://www.tripadvisor.es/Search?q=Ikoyi%20London
ikoyi-restaurant-restaurant,Ikoyi,London,https://www.tripadvisor.es/Search?q=Ikoyi%20London
restaurant-jan-restaurant,Jan,Munich,https://www.tripadvisor.es/Search?q=Jan%20Munich
restaurant-jan-restaurant-restaurant,Jan,Munich,https://www.tripadvisor.es/Search?q=Jan%20Munich
jewel-of-the-south,Jewel of the South,New Orleans,https://www.tripadvisor.es/Search?q=Jewel%20of%20the%20South%20New%20Orleans
jewel-of-the-south-bar,Jewel of the South,New Orleans,https://www.tripadvisor.es/Search?q=Jewel%20of%20the%20South%20New%20Orleans
jewel-of-the-south-bar-bar,Jewel of the South,New Orleans,https://www.tripadvisor.es/Search?q=Jewel%20of%20the%20South%20New%20Orleans
jigger-pony,Jigger & Pony,Singapore,https://www.tripadvisor.es/Search?q=Jigger%20%26%20Pony%20Singapore
